0;8
100;7741
200;29989
300;68040
400;119907
500;189325
600;265898
700;364546
800;471284
900;603471
1000;741845
2000;2958088
3000;6733677
4000;11987663
5000;18664529
6000;26983403
7000;36652648
8000;48023441
9000;60391445
10000;74042839
100;7794
200;30326
300;67701
400;117185
500;191501
600;273413
700;367820
800;479373
900;604084
1000;756499
2000;2998225
3000;6708942
4000;12051783
5000;18649023
6000;26923055
7000;36686205
8000;47808962
9000;60527820
10000;74444512
101;4944
201;20081
301;44587
401;79514
501;126221
601;178076
701;245038
801;321076
901;409099
1001;495540
2001;1982752
3001;4492663
4001;8061649
5001;12539789
6001;17864123
7001;24453508
8001;31621776
9001;40170321
10001;49800373
