;вставка;сторожевой
100;7794;4944
200;30326;20081
300;67701;44587
400;117185;79514
500;191501;126221
600;273413;178076
700;367820;245038
800;479373;321076
900;604084;409099
1000;756499;495540
2000;2998225;1982752
3000;6708942;4492663
4000;12051783;8061649
5000;18649023;12539789
6000;26923055;17864123
7000;36686205;24453508
8000;47808962;31621776
9000;60527820;40170321
10000;74444512;49800373
101;4944;
201;20081;
301;44587;
401;79514;
501;126221;
601;178076;
701;245038;
801;321076;
901;409099;
1001;495540;
2001;1982752;
3001;4492663;
4001;8061649;
5001;12539789;
6001;17864123;
7001;24453508;
8001;31621776;
9001;40170321;
10001;49800373;
